,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
132,Heróis da TV,27,2,O julgamento do Vigia,Capitão Marvel,"Capitão Marvel Rick Jones Vigia Vigia
Argumento: Allen ""Al"" Milgrom Steve Englehart - ‘John Harkness’ Roteiro: Steve Englehart - ‘John Harkness’ Desenho: Allen ""Al"" Milgrom Arte-Final: Klaus Janson Cores: Rita de Carvalho Letrista: Edison Gasparim Editor original: Len Wein
Publicada originalmente em  Captain Marvel (1968) n° 39/1975 - Marvel Comics
       
19 páginas.Título original: ""The trial of the Watcher"".",Captain Marvel,39,1975,Steve Englehart - ‘John Harkness’,"Allen ""Al"" Milgrom",
133,Heróis da TV,27,3,O escudo da liberdade,Capitão América,Capitão América Planejador Jarvis,Tales of Suspense,87,1967,Roy Thomas,Jack Sparling,NA
134,Heróis da TV,27,4,A invasão de Asgard!,Thor,Thor Loki Haag Hati O Deus-Lobo Skoll O Deus-Lobo Heimdall Geirrodur O Rei dos Trolls Odin Ulfrin,Journey Into Mystery,101,1964,Stan Lee,Jack Kirby,5 Páginas
135,Heróis da TV,27,5,Morte ao Príncipe Submarino,Homem de Ferro,"Homem de Ferro Serpente da Lua Isaac Namor O Príncipe Submarino
Argumento: Mike Friedrich Bill Everett Roteiro: Mike Friedrich Desenho: George Tuska Bill Everett Arte-Final: Vince Colletta Cores: Cleusa M. C. Acosta Letrista: Edison Gasparim Editor original: Roy Thomas
Publicada originalmente em  Iron Man (1968) n° 54/1973 - Marvel Comics
       
19 páginas (das 20 originais).Título original americano: ""Sub-Mariner: Target for death!""Bill Everett surgiu com a ideia inicial para a história e desenhou o rosto do Namor em todas as páginas.",Iron Man,54,1973,Mike Friedrich,"George Tuska,  Bill Everett",NA
136,Heróis da TV,28,1,O que aconteceria se… o martelo de Thor fosse encontrado por uma mulher?,Vigia,Vigia Thor Jane Foster Loki Heimdall Asgardianos Balder Fandral Hogun Volstagg Odin Sif Homem-Radioativo Homens de Lava Cobra (Rei Cobra) Mr. Hyde Vingadores Homem de Ferro Capitão América Vespa Gigante Mangog,What If?,10,1978,Don Glut,Rick Hoberg,
137,Heróis da TV,28,2,Hoje a Terra morreu!,Nick Fury,Nick Fury Dum Dum Dugan,Strange Tales,168,1968,Jim Steranko,Jim Steranko,
138,Heróis da TV,28,3,Corrida contra a morte,Motoqueiro Fantasma,"Motoqueiro Fantasma Feiticeira Roxanne Blaze Sam Silvercloud Pele de Cobra Craig ""Crash"" Simpson",Marvel Spotlight,10,1973,Gary Friedrich,Tom Sutton,
139,Heróis da TV,28,4,Lições do passado,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Meia-Noite Cho Lin Clive Reston Black Jack Tarr,Master of Kung Fu,41,1976,Doug Moench,Sal Buscema,NA
140,Heróis da TV,29,1,Em algum lugar do futuro,Surfista Prateado,Surfista Prateado Supersenhor Shalla Bal Yarro Gort,"Silver Surfer, The",6,1969,Stan Lee,John Buscema,39 Páginas
141,Heróis da TV,29,2,Eles estão entre nós,"Vigia
Roteiro:  Stan Lee Desenho:  Syd Shores Arte-Final:  Frank Brunner Tradutor:  Jotapê Martins",Vigia,"Silver Surfer, The",6,1969,Stan Lee,Syd Shores,9 Páginas
142,Heróis da TV,29,3,A serva de satã,Motoqueiro Fantasma,Motoqueiro Fantasma Feiticeira Satã,Marvel Spotlight,11,1973,Gary Friedrich,Tom Sutton,17 Páginas
143,Heróis da TV,29,4,A origem do Capitão Marvel,Capitão Marvel,Capitão Marvel Una Yon-Rogg Zarek Vigia,Captain Marvel,36,1975,"Stan Lee,  Steve Englehart - ‘John Harkness’","Jim Starlin,  Gene Colan",17 Páginas
144,Heróis da TV,30,1,O mundo do além,Thor,Thor Odin Loki Balder Sif Silencioso Infinito Hogun Fandral Volstagg Grão-Vizir (Asgardiano) Galactus Mangog,Thor,184,1971,Stan Lee,John Buscema,
145,Heróis da TV,30,2,Em busca do Infinito,Thor,Thor Odin Sif Hogun Fandral Volstagg Silencioso Infinito Grão-Vizir (Asgardiano) Heimdall,Thor,185,1971,Stan Lee,John Buscema,
146,Heróis da TV,30,3,O relógio da morte,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Clive Reston Black Jack Tarr James Larner Sir Nayland-Smith Melissa Greville Dr. Petrie Punho Elétrico,Master of Kung Fu,42,1976,Doug Moench,Paul Gulacy,
147,Heróis da TV,30,4,"Balder, o bravo",Balder,Balder Odin Thor Loki Karnilla Tyr Honir (Hoenir) Haag,Journey Into Mystery,106,1964,Stan Lee,Jack Kirby,"Um belíssimo conto asgardiano, onde é revelada a origem do grande guerreiro e fiel amigo do Poderoso Thor."
148,Heróis da TV,30,5,As garras do Ceifador,Homem de Ferro,Homem de Ferro Baal (Computador) Ben Crandal Senhor Kline Marianne (Marion) Rodgers Ceifador Monstro Mental,Iron Man,41,1971,Gerry Conway,George Tuska,
149,Heróis da TV,31,1,Batalha nas Bermudas,Invasores,Invasores Bucky Tocha Humana I Namor O Príncipe Submarino Franklin Delano Roosevelt Winston Churchill Capitão América Centelha Netuno (U-Man),"Invaders, The",3,1975,Roy Thomas,Frank Robbins,NA
150,Heróis da TV,31,2,Netuno deve ser detido!,Tocha Humana I,Tocha Humana I Namor O Príncipe Submarino Capitão América Bucky Winston Churchill Centelha Invasores Betty Dean Netuno (U-Man) Cliff Garner General Slinkard,"Invaders, The",4,1976,Roy Thomas,Frank Robbins,
151,Heróis da TV,31,3,Os Adagas Douradas,NA,NA,NA,NA,NA,NA,NA,NA
152,Heróis da TV,31,4,O que aconteceu com Scorpio?,Nick Fury,Nick Fury S.H.I.E.L.D. Gabe Jones Val de La Fontaine Scorpio I Dum Dum Dugan,"Nick Fury, Agent of S.H.I.E.L.D.",5,1968,Jim Steranko,Jim Steranko,NA
153,Heróis da TV,31,5,Mundos em guerra,Thor,Thor Odin Hela Infinito Silencioso Fandral Hogun Volstagg Sif Grão-Vizir (Asgardiano) Balder Heimdall,Thor,186,1971,Stan Lee,John Buscema,NA
154,Heróis da TV,32,1,O mundo está perdido,Thor,Thor Odin Infinito Sif Balder Loki Heimdall Hogun Fandral Volstagg Grão-Vizir (Asgardiano) Karnilla Silencioso Hela,Thor,187,1971,Stan Lee,John Buscema,19 Páginas
155,Heróis da TV,32,2,O fim do infinito,Thor,Thor Loki Fandral Hogun Volstagg Odin Balder Sif Heimdall Hela Karnilla Infinito Grão-Vizir (Asgardiano),Thor,188,1971,Stan Lee,John Buscema,15 Páginas
156,Heróis da TV,32,3,A sombra das estrelas,Campeões,Campeões Hércules Viúva Negra II Anjo Homem de Gelo Motoqueiro Fantasma Golias Negro (Gigante II) Gavião Arqueiro Defensor Mascarado Estrela Negra Guerreiro Kaa Metalóide,"Champions, The",11,1977,Bill Mantlo,John Byrne,17 Páginas
157,Heróis da TV,32,4,"Heimdall, o guardião eterno",Heimdall,Heimdall Odin Agnar Brimer Gigantes de Jotunheim,Journey Into Mystery,104,1964,Stan Lee,Jack Kirby,NA
158,Heróis da TV,32,5,A origem do Vigia,"Vigia
Roteiro:  Stan Lee Desenho:  Gene Colan Arte-Final:  Syd Shores Tradutor:  Jotapê Martins",Vigia,"Silver Surfer, The",1,1968,Stan Lee,Gene Colan,NA
159,Heróis da TV,32,6,O encanto da aranha (Relato de Clive Reston),Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Fu Manchu Leiko Wu Clive Reston Black Jack Tarr Tarrant Fah Lo Suee James Larner,Master of Kung Fu,46,1976,Doug Moench,Paul Gulacy,17 Páginas
160,Heróis da TV,33,1,Perdidos no hiperespaço,Campeões,Campeões Hércules Viúva Negra II Anjo Homem de Gelo Motoqueiro Fantasma Golias Negro (Gigante II) Estrela Negra Estranho Metalóide,"Champions, The",12,1977,Bill Mantlo,John Byrne,15 Páginas
161,Heróis da TV,33,2,O universo condenado,Campeões,Campeões Hércules Viúva Negra II Anjo Homem de Gelo Motoqueiro Fantasma Golias Negro (Gigante II) Estrela Negra Estranho,"Champions, The",13,1977,Bill Mantlo,John Byrne,16 Páginas
162,Heróis da TV,33,3,O templo de Shaolin,"Punho de Ferro
Roteiro:  Frank McLaughlin Arte:  Frank McLaughlin Letrista:  Edison Gasparim Editor original:  Roy Thomas
Publicada originalmente em   Giant-Size Master of Kung Fu (1974) n° 1/1974 - Marvel Comics
             
Título original: ""Shaolin temple boxing"".2 Páginas",Punho de Ferro,Giant-Size Master of Kung Fu,1,1974,"Frank McLaughlin Arte:  Frank McLaughlin Letrista:  Edison Gasparim Editor original:  Roy Thomas
Publicada originalmente em   Giant-Size Master of Kung Fu (1974) n° 1/1974 - Marvel Comics
             
Título original: ""Shaolin temple boxing"".2 Páginas",NA,2 Páginas
163,Heróis da TV,33,4,O amanhecer da loucura,Punho de Ferro,Punho de Ferro Lee Wing Colleen Wing Jeryn Hogarth Princesa Azir Rafael Scarfe Angar O Gritador Khumbala Bey,Marvel Premiere,25,1972,Chris Claremont,John Byrne,18 Páginas
164,Heróis da TV,33,5,A cidade no topo do mundo (Relato de Black Jack Tarr),Shang-Chi - Mestre do Kung Fu,"Shang-Chi - Mestre do Kung Fu Fu Manchu Leiko Wu Clive Reston Sir Nayland-Smith Black Jack Tarr Fah Lo Suee Shaka Kharn James Larner Ward Sarsfield
Argumento: Doug Moench Paul Gulacy Roteiro: Doug Moench Desenho: Paul Gulacy Arte-Final: Pablo Marcos Jack Abel Cores: Rita de Carvalho Letrista: Edison Gasparim Tradutor: Jotapê Martins Helcio de Carvalho Editor original: Archie Goodwin
Publicada originalmente em  Master of Kung Fu (1974) n° 48/1977 - Marvel Comics
       
Título original: ""City in the top of the world (Black Jack Tarr)"".17 Páginas",Master of Kung Fu,48,1977,Doug Moench,Paul Gulacy,17 Páginas
165,Heróis da TV,33,6,Possessão cósmica,Capitão Marvel,"Capitão Marvel Una Rick Jones Vigia Mordecai Boggs Jarvis Rachel ""Dandy"" Dandridge
Argumento: Allen ""Al"" Milgrom Steve Englehart - ‘John Harkness’ Roteiro: Steve Englehart - ‘John Harkness’ Desenho: Allen ""Al"" Milgrom Arte-Final: Al McWilliams Cores: Cleusa M. C. Acosta Letrista: Edison Gasparim Tradutor: Jotapê Martins Helcio de Carvalho Editor original: Len Wein
Publicada originalmente em  Captain Marvel (1968) n° 40/1975 - Marvel Comics
       
17 páginas (das 18 originais).Título original: ""Rocky Mountain 'bye!"".17 Páginas",Captain Marvel,40,1975,Steve Englehart - ‘John Harkness’,"Allen ""Al"" Milgrom",17 Páginas
166,Heróis da TV,34,1,Como uma visão da morte,Vingadores,Vingadores Visão II Pantera Negra Golias Vespa Ultron Gavião Arqueiro,"Avengers, The",57,1968,Roy Thomas,"John Buscema,  Marie Severin",NA
167,Heróis da TV,34,2,Ate um andróide pode chorar,Vingadores,Vingadores Visão II Homem de Ferro Golias Vespa Pantera Negra Ultron Magnum Barão Zemo Gavião Arqueiro Feiticeira Escarlate Mercúrio Thor Executor II Encantor,"Avengers, The",58,1968,Roy Thomas,John Buscema,17 Páginas
168,Heróis da TV,34,3,De volta à Zona Negativa,Capitão Marvel,"Capitão Marvel Tocha Humana II Rick Jones Vigilante Intergalático 459 S.H.I.E.L.D. Mordecai Boggs
Argumento: Gerry Conway Roteiro: Bill Mantlo Gerry Conway Desenho: Allen ""Al"" Milgrom Arte-Final: Terry Austin Bob Wiacek Allen ""Al"" Milgrom Cores: Rita de Carvalho Letrista: José Luiz Torres Pinto Tradutor: Jotapê Martins Editor original: Gerry Conway
Publicada originalmente em  Captain Marvel (1968) n° 47/1976 - Marvel Comics
       
16 páginas (das 17 originais).Título original: ""Crisis!"".",Captain Marvel,47,1976,"Bill Mantlo,  Gerry Conway","Allen ""Al"" Milgrom",
169,Heróis da TV,34,4,Os bravos também morrem (Relato de Sir Denis Nayland Smith),Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Clive Reston Leiko Wu Sir Nayland-Smith Fu Manchu Black Jack Tarr Shaka Kharn Fah Lo Suee James Larner Ward Sarsfield,Master of Kung Fu,49,1977,Doug Moench,Paul Gulacy,
170,Heróis da TV,34,5,A morte de um sonho (Relato de Fu Manchu),Fu Manchu,Fu Manchu Leiko Wu Clive Reston Sir Nayland-Smith Black Jack Tarr Fah Lo Suee Ward Sarsfield James Larner Shaka Kharn Shang-Chi - Mestre do Kung Fu Ducharme,Master of Kung Fu,50,1977,Doug Moench,Paul Gulacy,
171,Heróis da TV,35,1,Nasce uma estrela,Cristal,Cristal Homem-Aranha X-Men Colossus Noturno Tempestade Wolverine Vingadores Capitão América Fera Gavião Arqueiro Homem de Ferro Vespa Encantor Ninfa Carter Blaire Bella Blaire Steve Wildfire Jarvis,Dazzler,1,1981,Tom Defalco,John Romita Jr.,
172,Heróis da TV,35,2,A estréia fatal!,Cristal,Cristal Homem-Aranha Quarteto Fantástico Vingadores X-Men Coisa Tocha Humana II Vespa Fera Gavião Arqueiro Capitão América Homem de Ferro Cassandra Ferlengheti Encantor Harry Osgood Anjo Colossus Noturno Professor X Ninfa Tempestade Wolverine,Dazzler,2,1981,Tom Defalco,"John Romita Jr. Arte:  Walter ""Walt"" Simonson","Walt Simonson não foi creditado pela arte nas páginas 3, 12-15 da história."
173,Heróis da TV,35,3,A herança do mal,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Fu Manchu Cho Lin,Master of Kung Fu,64,1978,Scott Edelman,Mike Zeck,
174,Heróis da TV,35,4,O demônio de fogo,Odin,Odin Surtur Troll,Journey Into Mystery,99,1963,Stan Lee,Jack Kirby,NA
175,Heróis da TV,35,5,A maldição do fogo.. e do gelo,Vingadores,Vingadores Cavaleiro Negro III Gavião Arqueiro Pantera Negra Visão II Doutor Estranho Aragorn Marduk Surtur Ymir,"Avengers, The",61,1969,Roy Thomas,John Buscema,18 Páginas
176,Heróis da TV,36,1,A sombra do Abutre,Conan,"Conan O Bárbaro Sonja Yezdigerd Melissandra Narampyr Rei Ennatum Rei Ghannif O Abutre Kalmus Ivga Rhupen Sulimar
História: Robert E. Howard Roteiro: Roy Thomas Desenho: Barry Windsor-Smith Arte-Final: Sal Buscema Dan Adkins Chic Stone Cores: Rita de Carvalho Letrista: Edison Gasparim Tradutor: Jotapê Martins Editor original: Roy Thomas
Publicada originalmente em  Conan The Barbarian (1970) n° 23/1973 - Marvel Comics
       
Título original ""The shadow of the Vulture!""Baseado no conto homônimo de Robert E. Howard.Conan é perseguido pelo implacável espadachim conhecido como Abutre. Mas recebe a inesperada ajuda de Sonja uma mulher guerreira de cabelos ruivos tão bela quanto mortal.** Ob: Primeira aparição de Sonja nos quadrinhos.19 Páginas",Conan The Barbarian,23,1973,Roy Thomas,Barry Windsor-Smith,NA
177,Heróis da TV,36,2,"Sonja, a mulher-demônio",Conan,"Conan O Bárbaro Sonja Kharam-Akkad Melissandra Rei Ennatum Jax Chumballa Bey
História: Robert E. Howard Roteiro: Roy Thomas Arte: Barry Windsor-Smith Cores: Rita de Carvalho Letrista: Edison Gasparim Tradutor: Jotapê Martins Editor original: Roy Thomas
Publicada originalmente em  Conan The Barbarian (1970) n° 24/1973 - Marvel Comics
       
Título original ""The song of Red Sonja"". Baseado na história utilizando poemas escritos por Robert E. Howard .Conan e Sonja assaltam um castelo que contém uma preciosa tiara dourada em forma de serpente. O objeto no entanto parece ser mais perigoso do que aparenta ao se transformar em uma gigantesca e faminta serpente. O jogo de sedução que Sonja utiliza para ""usar"" Conan chega a dar pena do bárbaro. De fato até ele admite que um homem pode ser morto daquela forma.19 Páginas",Conan The Barbarian,24,1973,"Roy Thomas Arte:  Barry Windsor-Smith Cores:  Rita de Carvalho Letrista:  Edison Gasparim Tradutor:  Jotapê Martins Editor original:  Roy Thomas
Publicada originalmente em   Conan The Barbarian (1970) n° 24/1973 - Marvel Comics
             
Título original ""The song of Red Sonja"". Baseado na história utilizando poemas escritos por Robert E. Howard .Conan e Sonja assaltam um castelo que contém uma preciosa tiara dourada em forma de serpente. O objeto, no entanto, parece ser mais perigoso do que aparenta ao se transformar em uma gigantesca e faminta serpente. O jogo de sedução que Sonja utiliza para ""usar"" Conan chega a dar pena do bárbaro. De fato, até ele admite que um homem  pode ser morto daquela forma.19 Páginas",NA,"Baseado na história utilizando poemas escritos por Robert E. Howard .Conan e Sonja assaltam um castelo que contém uma preciosa tiara dourada em forma de serpente. O objeto, no entanto, parece ser mais perigoso do que aparenta ao se transformar em uma gigantesca e faminta serpente. O jogo de sedução que Sonja utiliza para ""usar"" Conan chega a dar pena do bárbaro. De fato, até ele admite que um homem  pode ser morto daquela forma.19 Páginas"
178,Heróis da TV,36,3,Meu nome é… Jaqueta Amarela!,Vingadores,Vingadores Gavião Arqueiro Jaqueta Amarela Pantera Negra Vespa Visão II Jarvis J. Jonah Jameson Homem-Aranha,"Avengers, The",59,1968,Roy Thomas,John Buscema,NA
179,Heróis da TV,36,4,Os falsos deuses,Thor,Thor Odin Sif Balder Hogun Fandral Volstagg Heimdall Igron Asgardianos,Thor,217,1973,Gerry Conway,John Buscema,NA
180,Heróis da TV,37,1,Quem é Adam Warlock?,Adam Warlock,Adam Warlock Sphinxor,Strange Tales,178,1975,"Jim Starlin Arte:  Jim Starlin Cores:  Cleusa M. C. Acosta Letrista:  Edison Gasparim Tradutor:  Jotapê Martins Editor original:  Len Wein
Publicada originalmente em   Strange Tales (1951) n° 178/1975 - Marvel Comics
             
Título original ""Who is Adam Warlock?""Sphinxor reconta a Origem de Warlock, seus encontros com Thor e o Alto Evolucionário, a Criação da Contra-Terra e a Batalha de Warlock contra o Homem-Besta!Ob: ** Início do run de Adam Warlock por Jim Starlin.5 Páginas",NA,NA
181,Heróis da TV,37,2,Surge o Magus!,Adam Warlock,Adam Warlock Magus Matriarca,Strange Tales,178,1975,"Jim Starlin Arte:  Jim Starlin Cores:  Cleusa M. C. Acosta Letrista:  Edison Gasparim Tradutor:  Jotapê Martins Editor original:  Len Wein
Publicada originalmente em   Strange Tales (1951) n° 178/1975 - Marvel Comics
             
Título original ""Enter the Magus!""Warlock encontra uma mulher sendo atacada por estranhos seres. Ele tenta protegê-la, mas falha. Tentando descobrir mais sobre os seguidores da vítima, nosso vingador espacial traz a alma da mesma, que revela que seus agressores são seguidores de uma seita que tem como líder supremo ""Magus"". Depois disso, Magus ""aparece"" para Warlock, e revela que eles são o mesmo ser. Então, o herói de pele dourada decide que o vilão precisa ser detido.14 Páginas",NA,"Depois disso, Magus ""aparece"" para Warlock, e revela que eles são o mesmo ser. Então, o herói de pele dourada decide que o vilão precisa ser detido.14 Páginas"
182,Heróis da TV,37,3,O foguete da morte,Adam Warlock,Adam Warlock Pip O Troll Autolycus Magus,Strange Tales,179,1975,"Jim Starlin Arte:  Jim Starlin Cores:  Cleusa M. C. Acosta Letrista:  Edison Gasparim Tradutor:  Jotapê Martins Editor original:  Len Wein
Publicada originalmente em   Strange Tales (1951) n° 179/1975 - Marvel Comics
             
Título original ""Death ship!""Warlock é capturado por Autolycus dos Cavaleiros Negros e trazido a bordo da nave principal de Magus. Seus colegas prisioneiros dizem a Warlock que os sobreviventes das Guerras da Igreja são tomados como trabalhadores escravos, aqueles que recusarem serão rescindidos e seus restos mortais serão decompostos quimicamente e elementos valiosos que podem ser recuperados serão usados ??para promover a causa da guerra...** (Das 16 paginas das 19 originais).16 Páginas",NA,NA
183,Heróis da TV,37,4,Até que a morte nos separe!,Vingadores,Vingadores Capitão América Gavião Arqueiro Jaqueta Amarela Pantera Negra Vespa Visão II Jarvis Mestre do Picadeiro Princesa Píton Circo do Crime Grandes Gambonnos Palhaço Bala Humana Quarteto Fantástico Mulher Invisível Cristalys Cavaleiro Negro III Demolidor X-Men Garota Marvel Homem de Gelo Fera Anjo Coisa Tocha Humana II Senhor Fantástico Doutor Estranho Homem de Ferro Homem-Aranha Nick Fury Golias Ciclope Preciosa (Cobra),"Avengers, The",60,1969,Roy Thomas,John Buscema,"..Till Death Do Us Part!”Casamento da Vespa com o Jaqueta Amarela (Hank Pym).A Abril alterou a presença da Cristalys (que era do Quarteto), transformando-a numa personagem genérica. Obser: A personagem genérica é chamada de Verônica. (Vitor  Cioccari)** Ob: (19 páginas das 20 originais).19 Páginas"
184,Heróis da TV,37,5,O preço da liberdade,Conan,Conan O Bárbaro Moira Zha-Gorr Gantorr Kiord Har-Lann Gha-Kree,Conan The Barbarian,2,1970,Roy Thomas,Barry Windsor-Smith,NA
185,Heróis da TV,38,1,O herdeiro de Frankenstein!,Surfista Prateado,Surfista Prateado Baron Ludwig Von Frankenstein Monstro de Frankenstein,"Silver Surfer, The",7,1969,Stan Lee,John Buscema,35 Páginas
186,Heróis da TV,38,2,"Golias morreu, viva Golias!",Vingadores,Vingadores Gavião Arqueiro Jaqueta Amarela Pantera Negra Vespa Visão II Viúva Negra II Cabeça de Ovo Jarvis Mestre dos Bonecos Pensador Louco Golias II S.H.I.E.L.D.,"Avengers, The",63,1969,Roy Thomas,Gene Colan,15 Páginas
187,Heróis da TV,38,3,Na teia do Deus-Aranha,Conan,Conan O Bárbaro Sarkon Thanix Modar Tork Léa Omm (Deus-Aranha),Conan The Barbarian,13,1972,"Roy Thomas,  John Jakes",Barry Windsor-Smith,22 Páginas
188,Heróis da TV,39,1,A carícia da morte,Thor,Thor Hela Sif Balder Hogun Fandral Volstagg Odin Loki Karnilla Heimdall Asgardianos Grão-Vizir (Asgardiano),Thor,189,1971,Stan Lee,John Buscema,NA
189,Heróis da TV,39,2,A jóia vampira / O julgamento,Adam Warlock,Adam Warlock Pip O Troll Gamora Magus Kray-Tor Matriarca,Strange Tales,180,1975,Jim Starlin,Jim Starlin,NA
190,Heróis da TV,39,3,Noite de magia,Conan,"Conan O Bárbaro Elric de Melniboné Zephra Zukala Terhali Kulan-Gath Xiombarg Gaynor O Príncipe Maldito
Argumento: James Cawthorn Michael Moorcock Roteiro: Roy Thomas Desenho: Barry Windsor-Smith Arte-Final: Sal Buscema Cores: Rita de Carvalho Letrista: José Luiz Torres Pinto Tradutor: Jotapê Martins Editor original: Stan Lee
Publicada originalmente em  Conan The Barbarian (1970) n° 14/1972 - Marvel Comics
       
Título original ""A sword called Stormbringer!"".Conan encontra novamente Zephra a filha do feiticeiro Zukala. Desta vez contudo o ancião pede a ajuda do Cimério para localizar uma lendária cidade de ouro. É então que um terceiro personagem junta-se à busca: Elric de Melniboné.* Ob: (20 das 21 páginas no original).20 Páginas",Conan The Barbarian,14,1972,Roy Thomas,Barry Windsor-Smith,"Conan encontra novamente Zephra, a filha do feiticeiro Zukala. Desta vez, contudo, o ancião pede a ajuda do Cimério para localizar uma lendária cidade de ouro. É então que um terceiro personagem junta-se à busca: Elric de Melniboné.* Ob: (20 das 21 páginas  no original).20 Páginas"
191,Heróis da TV,40,1,A origem de Conan,Conan,Conan O Bárbaro Gondur Olav Hothar Volff Sharkosh Tara,Conan The Barbarian,1,1970,Roy Thomas,Barry Windsor-Smith,NA
192,Heróis da TV,40,2,Picadeiro da loucura,Adam Warlock,Adam Warlock Pip O Troll Gamora Magus Matriarca,Strange Tales,181,1975,Jim Starlin,Jim Starlin,.. Os Palhaços estão tentando reprogramar Warlock e Bela Jan!18 Páginas
193,Heróis da TV,40,3,O assassinato de Nick Fury,Nick Fury,Nick Fury Hidra Matador Laura Brown Dum Dum Dugan S.H.I.E.L.D.,"Nick Fury, Agent of S.H.I.E.L.D.",15,1969,Gary Friedrich,"Dick Ayers,  Herb Trimpe",NA
194,Heróis da TV,40,4,"Scorpio, o signo da morte",Vingadores,Vingadores Capitão América Golias II Jaqueta Amarela Vespa Visão II Rick Jones Nick Fury Zodíaco Scorpio I Capitão Marvel Aquário Áries Touro II (Zodíaco) Câncer Capricórnio Dum Dum Dugan Gêmeos Gabe Jones Jimmy Woo Leão (Zodíaco) Libra Peixes Sagitário Virgem,"Avengers, The",72,1970,Roy Thomas,Sal Buscema,NA
195,Heróis da TV,41,1,O guerreiro e a Feiticeira,Vingadores,Vingadores Capitão América Feiticeira Escarlate Golias II Homem de Ferro Mercúrio Pantera Negra Visão II Arkon Jarvis Vespa Jaqueta Amarela Groxo Golias Negro (Gigante II),"Avengers, The",75,1970,Roy Thomas,John Buscema,NA
196,Heróis da TV,41,2,As chamas da paixão,Vingadores,Vingadores Capitão América Feiticeira Escarlate Golias II Homem de Ferro Mercúrio Pantera Negra Thor Visão II Arkon Groxo Grão-Vizir Barba Cinza,"Avengers, The",76,1970,Roy Thomas,John Buscema,NA
197,Heróis da TV,41,3,O confronto,Adam Warlock,Adam Warlock Pip O Troll Gamora Magus Thanos Matriarca,Warlock,9,1975,Jim Starlin,Jim Starlin,NA
198,Heróis da TV,41,4,O sepulcro de um deus,Conan,Conan O Bárbaro Dunlang Eevin Malachi Kormlada Tomar Brian Borri,Conan The Barbarian,3,1971,Roy Thomas,Barry Windsor-Smith,NA
199,Heróis da TV,42,1,Meu estranho destino / Quem é Thanos? / O princípio da redenção,Adam Warlock,Adam Warlock Pip O Troll Gamora Thanos Capitão Marvel Magus Matriarca Intermediário,Warlock,10,1975,Jim Starlin,Jim Starlin,NA
200,Heróis da TV,42,2,A estranha morte de Adam Warlock,Adam Warlock,Adam Warlock Pip O Troll Gamora Thanos Magus Intermediário,Warlock,11,1976,"Jim Starlin Arte:  Steve Leialoha Layout:  Jim Starlin Cores:  Rita de Carvalho Letrista:  Edison Gasparim Tradutor:  Jotapê Martins Editor original:  Marv Wolfman
Publicada originalmente em   Warlock (1972) n° 11/1976 - Marvel Comics
             
17 páginas (das 18 originais).Título original: “The strange death of Adam Warlock!”.17 Páginas",NA,NA
201,Heróis da TV,42,3,Sangue e traição,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Black Jack Tarr Leiko Wu,Master of Kung Fu,76,1979,Doug Moench,Mike Zeck,17 Páginas
202,Heróis da TV,42,4,A luta pelo trono,Vingadores,Vingadores Pantera Negra Cavaleiro Negro III Gavião Arqueiro Visão II Homem Gorila Aragorn W'kabi N'gamo,"Avengers, The",62,1969,Roy Thomas,John Buscema,18 Páginas
203,Heróis da TV,43,1,O que aconteceria se o Conan viesse para nossos dias?,Conan,Conan O Bárbaro Vigia,What If?,13,1979,Roy Thomas,John Buscema,NA
204,Heróis da TV,43,2,Armas,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Leiko Wu Black Jack Tarr Sir Nayland-Smith Melissa Greville Clive Reston Zaran Ward Sarsfield,Master of Kung Fu,77,1979,Doug Moench,Mike Zeck,NA
205,Heróis da TV,43,3,O reinado do mal,Thor,Thor Loki Fandral Hogun Volstagg Odin Balder Sif Asgardianos Karnilla Durok O Arrasador,Thor,191,1971,Stan Lee,John Buscema,NA
206,Heróis da TV,44,1,Viagem ao centro de um andróide,Vingadores,Vingadores Capitão América Golias II Homem de Ferro Homem-Formiga Feiticeira Escarlate Mercúrio Thor Visão II Rick Jones Capitão Marvel Super-Skrull Skrulls Warren Craddock,"Avengers, The",93,1971,Roy Thomas,Neal Adams,34 Páginas
207,Heróis da TV,44,2,Um homem chamado Zaran,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Leiko Wu Clive Reston Sir Nayland-Smith Black Jack Tarr Zaran Ward Sarsfield Melissa Greville,Master of Kung Fu,78,1979,Doug Moench,Mike Zeck,17 Páginas
208,Heróis da TV,44,3,Combate sem fim,Thor,Thor Loki Fandral Hogun Volstagg Balder Sif Asgardianos Karnilla Durok O Arrasador Surfista Prateado,Thor,192,1971,Stan Lee,John Buscema,20 Páginas
