,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
17,Heróis da TV,3,5,Morte na praia,Campeões,Campeões Anjo Hércules Homem de Gelo Motoqueiro Fantasma Viúva Negra II Ivan Petrovitch,"Champions, The",4,1976,Chris Claremont,George Tuska,
18,Heróis da TV,3,6,Trama macabra,Surfista Prateado,Surfista Prateado Abominável,"Silver Surfer, The",12,1970,Stan Lee,John Buscema,
19,Heróis da TV,4,1,Ataque!,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Fu Manchu Sir Nayland-Smith Black Jack Tarr Si-Fan,Master of Kung Fu,18,1974,Steve Englehart - ‘John Harkness’,Paul Gulacy,18 Páginas
20,Heróis da TV,4,2,O grotesco Homem-Coisa,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Homem-Coisa Fu Manchu Sir Nayland-Smith Black Jack Tarr Si-Fan Lu Sun,Master of Kung Fu,19,1974,Steve Englehart - ‘John Harkness’,Paul Gulacy,18 Páginas
21,Heróis da TV,4,3,Uma nação em perigo,Homem de Ferro,Homem de Ferro Myrmidon,Iron Man,29,1970,Mimi Gold,Don Heck,19 Páginas
22,Heróis da TV,4,4,Quando o Falcão Ataca!,Capitão América,"Capitão América Falcão Rick Jones Caveira Vermelha I.M.A. - Idéias Mecânicas Avançadas Baldini Cadavus General Ching Asa Vermelha Hauptmann ""Mão de Ferro"" Ivan Krushki Exilados (Cientistas) Gruning",Captain America,118,1969,Stan Lee,Gene Colan,20 Páginas
23,Heróis da TV,4,5,A origem do Surfista Prateado,Surfista Prateado,Surfista Prateado Galactus Shalla Bal John Jameson Yarro Gort Hulk Quarteto Fantástico Coisa Mulher Invisível Senhor Fantástico Doutor Destino,"Silver Surfer, The",1,1968,Stan Lee,John Buscema,38 Páginas
24,Heróis da TV,5,1,O nascimento de um Deus,Thor,"Thor Destruidor (Armadura) Korg Heimdall Odin Loki Karnilla Balder Jane Foster Sif Hogun Fandral Volstagg Hércules Plutão Ulik O Troll Toag Cobra (Rei Cobra)
Argumento: Stan Lee Roteiro: Stan Lee Larry Lieber Desenho: Jack Kirby Arte-Final: Vince Colletta Joe Sinnott Editor original: Stan Lee
Publicada originalmente em  Journey Into Mystery (1952) n° 83/1962 - Marvel Comics 
                
                
                  Thor (1966) n° 158/1968 - Marvel Comics
       
Essa história aproveita as páginas da história publicada em Journey Into Mystery n° 83.Título original: ""The way it was!"".20 Páginas",Journey Into Mystery,83,1962,"Stan Lee,  Larry Lieber",Jack Kirby,20 Páginas
25,Heróis da TV,5,2,"A verdade, afinal",Thor,Thor Heimdall Odin Asgardianos Balder Hogun Fandral Volstagg Gondolf Loki Gigantes da Tempestade,Thor,159,1968,Stan Lee,Jack Kirby,20 Páginas
26,Heróis da TV,5,3,"Flagelus, o indestrutível",Surfista Prateado,Surfista Prateado Flagelus,"Silver Surfer, The",13,1970,Stan Lee,John Buscema,20 Páginas
27,Heróis da TV,5,4,Enigma do medo,Miss Marvel,Miss Marvel Escorpião Mike Barnett Mary Jane Watson Destruidor I.M.A. - Idéias Mecânicas Avançadas Capitão Marvel Yon-Rogg J. Jonah Jameson,Ms. Marvel,2,1977,Gerry Conway,John Buscema,
28,Heróis da TV,5,5,Mas quem sou eu?,Miss Marvel,"Miss Marvel Major David Adamson Mike Barnett Destruidor Flagelus J. Jonah Jameson Salia Petrie Mary Jane Watson I.M.A. - Idéias Mecânicas Avançadas
Argumento: Gerry Conway Roteiro: Chris Claremont Desenho: John Buscema Arte-Final: Joe Sinnott Editor original: Archie Goodwin
Publicada originalmente em  Ms. Marvel (1977) n° 3/1977 - Marvel Comics
       
O robô Flagelus retorna à terra e enfrenta Miss Marvel.Título original: ""The Lady's Not for Killing!"".",Ms. Marvel,3,1977,Chris Claremont,John Buscema,
29,Heróis da TV,5,6,Uma vitória simbólica,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Black Jack Tarr Sir Nayland-Smith Fu Manchu Si-Fan,Master of Kung Fu,22,1974,Doug Moench,Paul Gulacy,NA
30,Heróis da TV,6,1,O Motoqueiro Fantasma,Motoqueiro Fantasma,"Motoqueiro Fantasma Craig ""Crash"" Simpson Roxanne Blaze Mefisto Mona Simpson Zarathos",Marvel Spotlight,5,1972,"Roy Thomas,  Gary Friedrich Arte:  Mike Ploog Editor original:  Stan Lee,  Len Wein
Publicada originalmente em   Marvel Spotlight (1971) n° 5/1972 - Marvel Comics
             
Título original: ""Ghost Rider"".Originalmente a história foi publicada em Marvel Spotlight 5 e a história desta edição foi publicada em Ghost Rider 10.20 Páginas",NA,Originalmente a história foi publicada em Marvel Spotlight 5 e a história desta edição foi publicada em Ghost Rider 10.20 Páginas
31,Heróis da TV,6,2,O preço da imortalidade,Punho de Ferro,Punho de Ferro Wendell Rand Heather Rand Yu-Ti Harold Meachum,Marvel Premiere,15,1974,Roy Thomas,Gil Kane,NA
32,Heróis da TV,6,3,Esta terra condenada,Homem de Ferro,Homem de Ferro Namor O Príncipe Submarino,Iron Man,25,1970,Archie Goodwin,Johnny Craig - ‘Jay Taycee’,19 Páginas
33,Heróis da TV,6,4,O rio da morte,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Black Jack Tarr Sir Nayland-Smith Si-Fan Fu Manchu Adolf Hitler,Master of Kung Fu,23,1974,Doug Moench,"Allen ""Al"" Milgrom",NA
